iter	Passed	Remaining
0	3	3297
1	6	3301
2	9	3245
3	13	3258
4	16	3307
5	19	3277
6	22	3251
7	26	3245
8	29	3234
9	32	3215
10	35	3195
11	38	3184
12	42	3199
13	45	3190
14	48	3174
15	51	3183
16	55	3182
17	58	3169
18	61	3172
19	64	3162
20	67	3143
21	70	3118
22	72	3093
23	75	3073
24	78	3055
25	82	3071
26	85	3082
27	89	3097
28	92	3109
29	96	3107
30	99	3103
31	102	3095
32	105	3085
33	108	3080
34	111	3076
35	114	3075
36	118	3071
37	121	3074
38	124	3068
39	127	3063
40	130	3056
41	133	3047
42	136	3041
43	139	3033
44	143	3036
45	146	3035
46	149	3036
47	152	3031
48	155	3027
49	159	3023
50	162	3017
51	165	3012
52	168	3009
53	171	3003
54	174	3001
55	178	3000
56	181	3003
57	184	3000
58	187	2994
59	190	2990
60	193	2984
61	197	2982
62	200	2978
63	203	2978
64	207	2978
65	210	2976
66	213	2972
67	217	2974
68	220	2972
69	223	2973
70	227	2971
71	230	2973
72	234	2974
73	237	2973
74	241	2973
75	244	2973
76	248	2972
77	251	2970
78	254	2968
79	258	2968
80	261	2965
81	265	2970
82	268	2968
83	272	2968
84	275	2968
85	279	2965
86	282	2963
87	285	2963
88	289	2960
89	292	2957
90	295	2955
91	299	2954
92	302	2951
93	306	2950
94	309	2948
95	313	2947
96	316	2946
97	319	2942
98	323	2941
99	326	2937
100	329	2936
101	333	2933
102	336	2928
103	339	2926
104	342	2922
105	346	2921
106	349	2918
107	352	2914
108	356	2913
109	359	2909
110	363	2910
111	366	2907
112	370	2905
113	373	2903
114	376	2900
115	380	2896
116	383	2891
117	386	2887
118	389	2884
119	392	2879
120	395	2873
121	398	2867
122	401	2862
123	404	2857
124	407	2853
125	410	2848
126	413	2843
127	416	2839
128	419	2834
129	423	2831
130	426	2826
131	429	2821
132	432	2817
133	435	2814
134	438	2810
135	441	2806
136	444	2802
137	448	2799
138	451	2795
139	454	2791
140	457	2786
141	460	2782
142	463	2777
143	466	2773
144	469	2768
145	472	2764
146	475	2759
147	478	2754
148	481	2750
149	484	2746
150	487	2742
151	490	2738
152	494	2735
153	497	2731
154	500	2727
155	503	2723
156	506	2718
157	509	2714
158	512	2710
159	515	2706
160	518	2701
161	521	2698
162	524	2693
163	527	2689
164	530	2686
165	534	2684
166	538	2683
167	541	2681
168	544	2677
169	547	2674
170	551	2671
171	553	2666
172	556	2662
173	559	2657
174	562	2653
175	565	2648
176	568	2644
177	571	2639
178	574	2635
179	578	2633
180	581	2629
181	584	2625
182	587	2621
183	590	2616
184	593	2613
185	596	2608
186	599	2604
187	602	2600
188	605	2596
189	608	2593
190	611	2588
191	614	2584
192	617	2580
193	620	2576
194	623	2572
195	625	2566
196	628	2563
197	632	2562
198	635	2559
199	639	2556
200	642	2555
201	646	2552
202	649	2548
203	652	2546
204	655	2540
205	658	2539
206	662	2536
207	665	2534
208	668	2530
209	672	2528
210	675	2525
211	678	2522
212	681	2519
213	685	2517
214	688	2514
215	691	2511
216	694	2506
217	697	2502
218	700	2498
219	703	2495
220	707	2493
221	710	2489
222	713	2486
223	716	2482
224	719	2479
225	723	2476
226	725	2471
227	728	2466
228	731	2463
229	734	2460
230	738	2458
231	741	2453
232	744	2450
233	747	2448
234	750	2443
235	753	2439
236	756	2435
237	760	2433
238	763	2430
239	765	2425
240	769	2422
241	772	2420
242	776	2417
243	779	2414
244	782	2411
245	785	2408
246	789	2406
247	792	2402
248	795	2398
249	798	2396
250	801	2391
251	805	2389
252	808	2388
253	812	2385
254	814	2380
255	817	2376
256	820	2373
257	823	2367
258	831	2379
259	834	2375
